Run,Bases,Bytes,Experiment,Library Name,Group
SRR2959749,15.82 G,9.44 Gb,SRX1451532,HL60S4_0-1,untreated
SRR2959843,16.13 G,9.57 Gb,SRX1451533,HL60S4_0-2,untreated
SRR2959892,18.64 G,11.01 Gb,SRX1451534,HL60S4_0-3,untreated
SRR2959894,14.53 G,8.38 Gb,SRX1451536,HL60S4_0-4,untreated
SRR2959989,15.95 G,9.51 Gb,SRX1451466,HL60S4_TPA-1,TPA
SRR2959990,14.16 G,8.14 Gb,SRX1451470,HL60S4_TPA-4,TPA
SRR2959991,15.26 G,9.03 Gb,SRX1451468,HL60S4_TPA-2,TPA
SRR2959992,15.29 G,9.11 Gb,SRX1451469,HL60S4_TPA-3,TPA
SRR2959898,15.80 G,9.44 Gb,SRX1451313,HL60S4_RA-1,RA
SRR2959952,15.11 G,8.72 Gb,SRX1451464,HL60S4_RA-4,RA
SRR2959986,16.04 G,9.43 Gb,SRX1451317,HL60S4_RA-2,RA
SRR2959987,13.59 G,8.03 Gb,SRX1451318,HL60S4_RA-3,RA
